,Country,Center,Type,Region,Lat,Long,Location_des
0,Liberia,Bonjeh clinic,Public Clinic,Bomi,6.488652,-10.853672999999999,"Bonjeh clinic, Bomi"
1,Liberia,Jenneh #3 clinic,Public Clinic,Bomi,6.53735,-10.8532,"Jenneh #3 clinic, Bomi"
2,Liberia,Beh Town clinic,Public Clinic,Bomi,6.617460792999999,-10.98715176,"Beh Town clinic, Bomi"
3,Liberia,Bowein clinic,Gov. Hospital,Bomi,6.607968059,-10.87047949,"Bowein clinic, Bomi"
4,Liberia,Dagweh Clinic,Public Clinic,Bomi,6.566992965,-10.94626858,"Dagweh Clinic, Bomi"
5,Liberia,Vortor clinic,Public Clinic,Bomi,6.618174638999999,-11.03416872,"Vortor clinic, Bomi"
6,Liberia,Gbah Jekeh Town  Community Clinic,Public Clinic,Bomi,6.714683999999999,-10.971777000000001,"Gbah Jekeh Town  Community Clinic, Bomi"
7,Liberia,Weawolo,Clinic,Bomi,6.62395,-10.77383,"Weawolo, Bomi"
8,Liberia,Gohnzipo,Public Clinic,Bomi,6.66235,-10.92548,"Gohnzipo, Bomi"
9,Liberia,Gonjeh Clinic,Hospital,Bomi,6.64807,-10.83499,"Gonjeh Clinic, Bomi"
10,Liberia,Goghen Clinic,Public Clinic,Bomi,6.734145076,-10.73438826,"Goghen Clinic, Bomi"
11,Liberia,Juajuah clinic,Public Clinic,Bomi,6.6734842610000005,-10.75678262,"Juajuah clinic, Bomi"
12,Liberia,Klay Town clinic,Public Clinic,Bomi,6.692941959,-10.87441825,"Klay Town clinic, Bomi"
13,Liberia,Malema,Clinic,Bomi,6.6748899999999995,-10.97365,"Malema, Bomi"
14,Liberia,Sass/Sasstown,Public Clinic,Bomi,6.5825742410000005,-10.89117902,"Sass/Sasstown, Bomi"
15,Liberia,Sasstown Clinic,Clinic,Bomi,6.676069999999999,-10.78253,"Sasstown Clinic, Bomi"
16,Liberia,Zordee Community Clinic,Clinic,Bomi,6.6761,-10.7829,"Zordee Community Clinic, Bomi"
17,Liberia,Guthrie Plantation,Clinic,Bomi,6.739260000000001,-10.94557,"Guthrie Plantation, Bomi"
18,Liberia,Beafini clinic,Public Clinic,Bomi,6.861015299,-10.89858817,"Beafini clinic, Bomi"
