,Country,Date,Center,Type,Region,Place,Lat,Long,Location_des
0,Liberia,2014-08-19 00:00:00,Bonjeh clinic,1 Public Clinic,Bomi,Gbonje (Bonjeh),6.488652,-10.853673,"Bonjeh clinic, Bomi"
1,Liberia,2014-08-19 00:00:00,Jenneh #3 clinic,1 Public Clinic,Bomi,Jenne,6.53735,-10.8532,"Jenneh #3 clinic, Bomi"
2,Liberia,2014-08-19 00:00:00,Beh Town clinic,1 Public Clinic,Bomi,Beh (Beang),6.617460793,-10.98715176,"Beh Town clinic, Bomi"
3,Liberia,,Bowein clinic,1 Gov. Hospital,Bomi,Bowein,6.607968059,-10.87047949,"Bowein clinic, Bomi"
4,Liberia,,Dagweh Clinic,1 Public Clinic,Bomi,"Tagweh (Dagweh, Togee)",6.566992965,-10.94626858,"Dagweh Clinic, Bomi"
5,Liberia,,Vortor clinic,1 Public Clinic,Bomi,Vortor,6.618174639,-11.03416872,"Vortor clinic, Bomi"
6,Liberia,,Gbah Jekeh Town  Community Clinic,1 Public Clinic,Bomi,Baha,6.714684,-10.971777,"Gbah Jekeh Town  Community Clinic, Bomi"
7,Liberia,2014-08-19 00:00:00,Weawolo,Clinic,Bomi,Bayukes,6.62395,-10.77383,"Weawolo, Bomi"
8,Liberia,2014-08-19 00:00:00,Gohnzipo,1 Public Clinic,Bomi,Gohnzipo,6.66235,-10.92548,"Gohnzipo, Bomi"
9,Liberia,2014-08-19 00:00:00,Gonjeh Clinic,Hospital,Bomi,Gonjeh,6.64807,-10.83499,"Gonjeh Clinic, Bomi"
10,Liberia,2014-08-19 00:00:00,Goghen Clinic,1 Public Clinic,Bomi,"Gonjeh (Gogehn, Gobehn, Gogbehn0",6.734145076,-10.73438826,"Goghen Clinic, Bomi"
11,Liberia,,Juajuah clinic,1 Public Clinic,Bomi,JuaJuah,6.673484261,-10.75678262,"Juajuah clinic, Bomi"
12,Liberia,,Klay Town clinic,1 Public Clinic,Bomi,Klay,6.692941959,-10.87441825,"Klay Town clinic, Bomi"
13,Liberia,2014-08-19 00:00:00,Malema,Clinic,Bomi,Malema Gobla,6.67489,-10.97365,"Malema, Bomi"
14,Liberia,2014-08-19 00:00:00,Sass/Sasstown,1 Public Clinic,Bomi,Sass Town / Be Sali,6.582574241,-10.89117902,"Sass/Sasstown, Bomi"
15,Liberia,2014-08-19 00:00:00,Sasstown Clinic,Clinic,Bomi,Zordee,6.67607,-10.78253,"Sasstown Clinic, Bomi"
16,Liberia,,Zordee Community Clinic,Clinic,Bomi,Zordee,6.6761,-10.7829,"Zordee Community Clinic, Bomi"
17,Liberia,2014-08-19 00:00:00,Guthrie Plantation,Clinic,Bomi,,6.73926,-10.94557,"Guthrie Plantation, Bomi"
18,Liberia,2014-08-18 00:00:00,Beafini clinic,1 Public Clinic,Bomi,Beafini,6.861015299,-10.89858817,"Beafini clinic, Bomi"
19,Liberia,,Besao clinic,1 Public Clinic,Bomi,Besao,6.729860221,-10.91344801,"Besao clinic, Bomi"
20,Liberia,,Gayah Hill clinic,1 Public Clinic,Bomi,Gayah Hill,6.760613773,-10.909951,"Gayah Hill clinic, Bomi"
21,Liberia,2014-08-19 00:00:00,Sackie Town,Clinic,Bomi,Sackie,6.97606,-10.92974,"Sackie Town, Bomi"
22,Liberia,,Sakey clinic,1 Public Clinic,Bomi,Saykay,6.570707111,-10.920969,"Sakey clinic, Bomi"
23,Liberia,2014-08-19 00:00:00,Ahmiddiya,Clinic,Bomi,Tubmanburg,6.86888,-10.824,"Ahmiddiya, Bomi"
24,Liberia,2014-08-19 00:00:00,Liberia Government Hospital,Hospital,Bomi,Tubmanburg,6.86717,-10.83035,"Liberia Government Hospital, Bomi"
25,Liberia,2014-08-19 00:00:00,St. Luke's Clinic,Clinic,Bomi,Tubmanburg,6.863166,-10.820971,"St. Luke's Clinic, Bomi"
26,Liberia,2014-09-17 00:00:00,Tubmanburg Government Hospital,Hospital,Bomi,Tubmanburg,6.871234897,-10.82806485,"Tubmanburg Government Hospital, Bomi"
27,Liberia,,Alasala,1 Public Clinic,Bomi,Alasala,6.583160648,-10.72933717,"Alasala, Bomi"
28,Liberia,,Mecca Town,1 Public Clinic,Bomi,Mecca,6.835048246,-10.57823728,"Mecca Town, Bomi"
29,Liberia,2014-08-19 00:00:00,Mecca,Clinic,Bomi,Suehn,6.83133,-10.57927,"Mecca, Bomi"
30,Liberia,2014-08-19 00:00:00,Suehn Town Clinic,1 Public Clinic,Bomi,Suehn (Suen),6.617598261,-10.70685009,"Suehn Town Clinic, Bomi"
31,Liberia,,Fefeh Clinic,Clinic,Bomi,Fefeh Town,6.6516,-10.745,"Fefeh Clinic, Bomi"
32,Liberia,,Mecca Community Clinic,Clinic,Bomi,Mecca,6.83422,-10.57827,"Mecca Community Clinic, Bomi"
33,Liberia,,Weawolo Community Clinic,Clinic,Bomi,Weawolo,6.6174343,-10.7882773,"Weawolo Community Clinic, Bomi"
34,Liberia,,Bong Mines Hospital,Hospital,Bong,Bong Town,6.806782053,-10.35739297,"Bong Mines Hospital, Bong"
35,Liberia,2014-08-19 00:00:00,Haindi Clinic,Clinic,Bong,Haindi,6.88793,-10.38544,"Haindi Clinic, Bong"
36,Liberia,2014-08-19 00:00:00,Janyea,Clinic,Bong,Donieta,6.69888,-9.52967,"Janyea, Bong"
37,Liberia,,Africa First Baptist Mission (AFBM),Clinic,Bong,Gbarnga,6.979612129,-9.461446616,"Africa First Baptist Mission (AFBM), Bong"
38,Liberia,,C.B. Dunbar Hospital,Hospital,Bong,Gbarnga,7.004200176,-9.477676634,"C.B. Dunbar Hospital, Bong"
39,Liberia,2014-08-19 00:00:00,Charles B. Dunbar,Clinic,Bong,Gbarnga,7.00459,-9.47743,"Charles B. Dunbar, Bong"
40,Liberia,2014-08-19 00:00:00,Liberia Against Malnutrition (LAM),Clinic,Bong,Gbarnga,7.0007,-9.47324,"Liberia Against Malnutrition (LAM), Bong"
